45  45  49
13  25  17  2
13  25  16  2
13  25  15  2
13  25  14  2
13  25  13  2
13  25  12  2
13  24  17  2
13  24  16  2
13  24  15  2
13  24  14  2
13  24  13  2
13  24  12  2
13  24  11  2
13  24  10  2
13  23  17  2
13  23  16  2
13  23  15  2
13  23  14  2
13  23  13  2
13  23  12  2
13  23  11  2
13  23  10  2
13  22  15  2
13  22  14  2
13  22  13  2
13  22  12  2
13  22  11  2
13  22  10  2
13  21  13  2
13  21  12  2
13  21  11  2
14  35  33  2
14  35  32  2
14  35  31  2
14  35  30  2
14  35  29  2
14  35  28  2
14  34  34  2
14  34  33  2
14  34  32  2
14  34  31  2
14  34  30  2
14  34  29  2
14  33  35  2
14  33  34  2
14  33  33  2
14  33  32  2
14  33  31  2
14  33  30  2
14  32  36  2
14  32  35  2
14  32  34  2
14  32  33  2
14  32  32  2
14  32  31  2
14  31  36  2
14  31  35  2
14  31  34  2
14  31  33  2
14  31  32  2
14  30  35  2
14  30  34  2
14  26  19  2
14  26  18  2
14  26  17  2
14  26  16  2
14  26  15  2
14  26  14  2
14  26  13  2
14  26  12  2
14  26  11  2
14  25  19  2
14  25  18  2
14  25  17  2
14  25  16  2
14  25  15  2
14  25  14  2
14  25  13  2
14  25  12  2
14  25  11  2
14  25  10  2
14  24  20  2
14  24  19  2
14  24  18  2
14  24  17  2
14  24  16  0
14  24  15  0
14  24  14  0
14  24  13  0
14  24  12  0
14  24  11  2
14  24  10  2
14  24  9  2
14  24  8  2
14  23  20  2
14  23  19  2
14  23  18  2
14  23  17  2
14  23  16  2
14  23  15  0
14  23  14  0
14  23  13  0
14  23  12  0
14  23  11  0
14  23  10  2
14  23  9  2
14  23  8  2
14  22  19  2
14  22  18  2
14  22  17  2
14  22  16  2
14  22  15  2
14  22  14  2
14  22  13  0
14  22  12  0
14  22  11  0
14  22  10  2
14  22  9  2
14  22  8  2
14  21  18  2
14  21  17  2
14  21  16  2
14  21  15  2
14  21  14  2
14  21  13  2
14  21  12  2
14  21  11  2
14  21  10  2
14  21  9  2
14  21  8  2
14  20  16  2
14  20  15  2
14  20  14  2
14  20  13  2
14  20  12  2
14  20  11  2
14  20  10  2
14  20  9  2
14  19  14  2
14  19  13  2
14  19  12  2
14  19  11  2
14  19  10  2
15  36  33  2
15  36  32  2
15  36  31  2
15  36  30  2
15  36  29  2
15  36  28  2
15  35  35  2
15  35  34  2
15  35  33  2
15  35  32  2
15  35  31  2
15  35  30  0
15  35  29  2
15  35  28  2
15  34  36  2
15  34  35  2
15  34  34  2
15  34  33  0
15  34  32  0
15  34  31  0
15  34  30  0
15  34  29  2
15  34  28  2
15  33  38  2
15  33  37  2
15  33  36  2
15  33  35  2
15  33  34  0
15  33  33  0
15  33  32  0
15  33  31  0
15  33  30  2
15  33  29  2
15  32  38  2
15  32  37  2
15  32  36  2
15  32  35  0
15  32  34  0
15  32  33  0
15  32  32  0
15  32  31  2
15  32  30  2
15  32  29  2
15  31  38  2
15  31  37  2
15  31  36  2
15  31  35  0
15  31  34  0
15  31  33  2
15  31  32  2
15  31  31  2
15  31  30  2
15  30  38  2
15  30  37  2
15  30  36  2
15  30  35  2
15  30  34  2
15  30  33  2
15  30  32  2
15  30  31  2
15  30  30  2
15  29  37  2
15  29  36  2
15  29  35  2
15  29  34  2
15  29  33  2
15  29  32  2
15  29  31  2
15  27  18  2
15  27  17  2
15  27  16  2
15  27  15  2
15  27  14  2
15  27  13  2
15  27  12  2
15  26  20  2
15  26  19  2
15  26  18  2
15  26  17  2
15  26  16  0
15  26  15  2
15  26  14  2
15  26  13  2
15  26  12  2
15  26  11  2
15  26  10  2
15  25  20  2
15  25  19  2
15  25  18  0
15  25  17  0
15  25  16  0
15  25  15  0
15  25  14  0
15  25  13  0
15  25  12  0
15  25  11  0
15  25  10  2
15  25  9  2
15  25  8  2
15  24  21  2
15  24  20  2
15  24  19  0
15  24  18  0
15  24  17  0
15  24  16  0
15  24  15  0
15  24  14  0
15  24  13  0
15  24  12  0
15  24  11  0
15  24  10  0
15  24  9  2
15  24  8  2
15  24  7  2
15  23  21  2
15  23  20  2
15  23  19  0
15  23  18  0
15  23  17  0
15  23  16  0
15  23  15  0
15  23  14  0
15  23  13  0
15  23  12  0
15  23  11  0
15  23  10  0
15  23  9  0
15  23  8  2
15  23  7  2
15  22  21  2
15  22  20  2
15  22  19  2
15  22  18  0
15  22  17  0
15  22  16  0
15  22  15  0
15  22  14  0
15  22  13  0
15  22  12  0
15  22  11  0
15  22  10  0
15  22  9  0
15  22  8  0
15  22  7  2
15  22  6  2
15  21  20  2
15  21  19  2
15  21  18  2
15  21  17  2
15  21  16  0
15  21  15  0
15  21  14  0
15  21  13  0
15  21  12  0
15  21  11  0
15  21  10  0
15  21  9  0
15  21  8  2
15  21  7  2
15  21  6  2
15  20  19  2
15  20  18  2
15  20  17  2
15  20  16  2
15  20  15  2
15  20  14  0
15  20  13  0
15  20  12  0
15  20  11  0
15  20  10  2
15  20  9  2
15  20  8  2
15  20  7  2
15  19  17  2
15  19  16  2
15  19  15  2
15  19  14  2
15  19  13  2
15  19  12  2
15  19  11  2
15  19  10  2
15  19  9  2
15  19  8  2
15  18  14  2
15  18  13  2
15  18  12  2
15  18  11  2
15  18  10  2
15  18  9  2
16  36  34  2
16  36  33  2
16  36  32  2
16  36  31  2
16  36  30  2
16  36  29  2
16  36  28  2
16  35  36  2
16  35  35  2
16  35  34  2
16  35  33  2
16  35  32  0
16  35  31  0
16  35  30  0
16  35  29  0
16  35  28  2
16  34  38  2
16  34  37  2
16  34  36  2
16  34  35  0
16  34  34  0
16  34  33  0
16  34  32  0
16  34  31  0
16  34  30  0
16  34  29  0
16  34  28  2
16  33  39  2
16  33  38  2
16  33  37  2
16  33  36  0
16  33  35  0
16  33  34  0
16  33  33  0
16  33  32  0
16  33  31  0
16  33  30  0
16  33  29  2
16  32  40  2
16  32  39  2
16  32  38  2
16  32  37  0
16  32  36  0
16  32  35  0
16  32  34  0
16  32  33  0
16  32  32  0
16  32  31  0
16  32  30  0
16  32  29  2
16  31  40  2
16  31  39  2
16  31  38  0
16  31  37  0
16  31  36  0
16  31  35  0
16  31  34  0
16  31  33  0
16  31  32  0
16  31  31  0
16  31  30  2
