122  122  15
26  92  4  1
26  91  10  1
26  91  9  1
26  91  4  1
26  90  10  1
26  90  9  1
26  90  8  1
26  90  7  1
26  90  6  1
26  90  5  1
26  90  4  1
26  89  10  1
26  89  9  1
26  89  8  1
26  89  7  1
26  89  6  1
26  89  5  1
26  89  4  1
26  88  10  1
26  88  9  1
26  88  8  1
26  88  7  1
26  88  6  1
26  88  5  1
26  87  10  1
26  87  9  1
26  87  8  1
27  92  5  1
27  92  4  1
27  91  10  1
27  91  9  1
27  91  8  1
27  91  7  1
27  91  6  1
27  91  5  1
27  91  4  1
27  90  10  1
27  90  9  1
27  90  8  1
27  90  7  1
27  90  6  1
27  90  5  1
27  90  4  1
27  89  10  1
27  89  9  0
27  89  8  0
27  89  7  0
27  89  6  0
27  89  5  1
27  89  4  1
27  88  10  1
27  88  9  0
27  88  8  1
27  88  7  1
27  88  6  1
27  88  5  1
27  88  4  1
27  87  10  1
27  87  9  1
27  87  8  1
27  87  7  1
27  87  6  1
27  87  5  1
27  87  4  1
27  86  10  1
27  86  9  1
27  86  8  1
27  86  7  1
27  86  6  1
27  86  5  1
27  86  4  1
27  85  10  1
27  85  9  1
27  85  8  1
27  85  7  1
27  85  6  1
28  93  6  1
28  93  5  1
28  93  4  1
28  92  10  1
28  92  9  1
28  92  8  1
28  92  7  1
28  92  6  1
28  92  5  1
28  92  4  1
28  91  10  1
28  91  9  1
28  91  8  1
28  91  7  1
28  91  6  1
28  91  5  1
28  91  4  1
28  90  10  1
28  90  9  0
28  90  8  0
28  90  7  0
28  90  6  0
28  90  5  0
28  90  4  1
28  89  10  1
28  89  9  0
28  89  8  0
28  89  7  0
28  89  6  0
28  89  5  0
28  89  4  1
28  88  10  1
28  88  9  0
28  88  8  0
28  88  7  0
28  88  6  0
28  88  5  0
28  88  4  1
28  87  10  1
28  87  9  0
28  87  8  0
28  87  7  0
28  87  6  0
28  87  5  0
28  87  4  1
28  86  10  1
28  86  9  0
28  86  8  0
28  86  7  0
28  86  6  1
28  86  5  1
28  86  4  1
28  85  10  1
28  85  9  1
28  85  8  1
28  85  7  1
28  85  6  1
28  85  5  1
28  85  4  1
28  84  10  1
28  84  9  1
28  84  8  1
28  84  7  1
28  84  6  1
28  84  5  1
28  84  4  1
29  93  10  1
29  93  9  1
29  93  7  1
29  93  6  1
29  93  5  1
29  93  4  1
29  92  10  1
29  92  9  1
29  92  8  1
29  92  7  1
29  92  6  1
29  92  5  0
29  92  4  1
29  91  10  1
29  91  9  0
29  91  8  0
29  91  7  1
29  91  6  1
29  91  5  0
29  91  4  1
29  90  10  1
29  90  9  0
29  90  8  0
29  90  7  0
29  90  6  0
29  90  5  0
29  90  4  1
29  89  10  1
29  89  9  0
29  89  8  0
29  89  7  0
29  89  6  0
29  89  5  0
29  89  4  1
29  88  10  1
29  88  9  0
29  88  8  0
29  88  7  0
29  88  6  0
29  88  5  0
29  88  4  1
29  87  10  1
29  87  9  0
29  87  8  0
29  87  7  0
29  87  6  0
29  87  5  0
29  87  4  1
29  86  10  1
29  86  9  0
29  86  8  0
29  86  7  0
29  86  6  0
29  86  5  0
29  86  4  1
29  85  10  1
29  85  9  0
29  85  8  0
29  85  7  0
29  85  6  0
29  85  5  0
29  85  4  1
29  84  10  1
29  84  9  1
29  84  8  1
29  84  7  1
29  84  6  1
29  84  5  1
29  84  4  1
30  94  8  1
30  94  7  1
30  94  6  1
30  94  5  1
30  94  4  1
30  93  10  1
30  93  9  1
30  93  8  1
30  93  7  1
30  93  6  1
30  93  5  1
30  93  4  1
30  92  10  1
30  92  9  1
30  92  8  1
30  92  7  1
30  92  6  0
30  92  5  0
30  92  4  1
30  91  10  1
30  91  9  0
30  91  8  0
30  91  7  0
30  91  6  0
30  91  5  0
30  91  4  1
30  90  10  1
30  90  9  0
30  90  8  0
30  90  7  0
30  90  6  0
30  90  5  0
30  90  4  1
30  89  10  1
30  89  9  0
30  89  8  0
30  89  7  0
30  89  6  0
30  89  5  0
30  89  4  1
30  88  10  1
30  88  9  0
30  88  8  0
30  88  7  0
30  88  6  0
30  88  5  0
30  88  4  1
30  87  10  1
30  87  9  0
30  87  8  0
30  87  7  0
30  87  6  0
30  87  5  0
30  87  4  1
30  86  10  1
30  86  9  0
30  86  8  0
30  86  7  0
30  86  6  0
30  86  5  0
30  86  4  1
30  85  10  1
30  85  9  0
30  85  8  0
30  85  7  0
30  85  6  0
30  85  5  0
30  85  4  1
30  84  10  1
30  84  9  1
30  84  8  1
30  84  7  1
30  84  6  1
30  84  5  1
30  84  4  1
30  83  9  1
30  83  8  1
30  83  7  1
30  83  6  1
30  83  5  1
30  83  4  1
31  94  10  1
