28  39  36
5  26  17  2
5  26  16  2
5  26  15  1
5  26  14  1
5  25  29  2
5  25  28  2
5  25  27  1
5  25  26  1
5  25  25  1
5  25  17  2
5  25  16  2
5  25  15  1
5  25  14  1
5  25  13  1
5  24  30  3
5  24  29  3
5  24  28  2
5  24  27  1
5  24  26  1
5  24  25  1
5  24  17  2
5  24  16  2
5  24  15  2
5  24  14  1
5  24  13  1
5  24  12  1
5  23  30  3
5  23  29  3
5  23  28  2
5  23  27  2
5  23  26  1
5  23  25  1
5  23  17  1
5  23  16  2
5  23  15  2
5  23  14  2
5  23  13  1
5  23  12  1
5  23  11  1
5  22  29  3
5  22  28  1
5  22  27  2
5  22  26  2
5  22  25  1
5  22  17  1
5  22  16  1
5  22  15  2
5  22  14  2
5  22  13  2
5  22  12  1
5  21  29  1
5  21  28  1
5  21  27  1
5  21  26  2
6  28  9  1
6  28  8  1
6  28  7  1
6  28  6  1
6  27  18  2
6  27  17  2
6  27  16  1
6  27  15  1
6  27  14  1
6  27  13  1
6  27  9  1
6  27  8  1
6  27  7  1
6  27  6  1
6  27  5  1
6  26  31  3
6  26  30  3
6  26  29  2
6  26  28  1
6  26  27  1
6  26  26  1
6  26  25  2
6  26  24  1
6  26  18  2
6  26  17  2
6  26  16  1
6  26  15  1
6  26  14  1
6  26  13  1
6  26  12  2
6  26  9  1
6  26  8  1
6  26  7  1
6  26  6  1
6  26  5  1
6  25  31  3
6  25  30  3
6  25  29  2
6  25  28  1
6  25  27  1
6  25  26  1
6  25  25  2
6  25  24  1
6  25  23  1
6  25  22  1
6  25  18  2
6  25  17  2
6  25  16  0
6  25  15  0
6  25  14  1
6  25  13  1
6  25  12  2
6  25  11  2
6  25  8  1
6  25  7  1
6  24  31  3
6  24  30  3
6  24  29  3
6  24  28  0
6  24  27  0
6  24  26  0
6  24  25  2
6  24  24  2
6  24  23  1
6  24  22  1
6  24  19  1
6  24  18  1
6  24  17  2
6  24  16  0
6  24  15  0
6  24  14  0
6  24  13  1
6  24  12  1
6  24  11  2
6  24  10  2
6  23  31  3
6  23  30  3
6  23  29  3
6  23  28  1
6  23  27  1
6  23  26  1
6  23  25  1
6  23  24  2
6  23  23  2
6  23  22  1
6  23  21  1
6  23  19  1
6  23  18  1
6  23  17  1
6  23  16  0
6  23  15  0
6  23  14  0
6  23  13  0
6  23  12  1
6  23  11  1
6  23  10  1
6  22  31  3
6  22  30  3
6  22  29  3
6  22  28  1
6  22  27  1
6  22  26  2
6  22  25  1
6  22  24  2
6  22  23  2
6  22  22  1
6  22  18  1
6  22  17  1
6  22  16  1
6  22  15  1
6  22  14  2
6  22  13  2
6  22  12  1
6  22  11  1
6  22  10  1
6  21  31  3
6  21  30  3
6  21  29  3
6  21  28  1
6  21  27  1
6  21  26  2
6  21  25  1
6  21  18  1
6  21  17  1
6  21  16  1
6  21  15  1
6  21  14  2
6  21  13  2
6  21  12  2
6  21  11  1
6  21  10  1
6  20  32  3
6  20  31  3
6  20  30  3
6  20  29  3
6  20  28  3
6  19  33  3
6  19  32  3
6  19  31  3
6  19  30  3
6  19  29  3
6  19  28  3
6  18  33  3
6  18  32  3
6  18  31  3
7  29  10  1
7  29  9  1
7  29  8  1
7  29  7  1
7  29  6  1
7  29  5  1
7  28  18  2
7  28  17  1
7  28  16  1
7  28  15  1
7  28  14  1
7  28  11  1
7  28  10  1
7  28  9  1
7  28  8  1
7  28  7  1
7  28  6  1
7  28  5  1
7  28  4  1
7  27  30  2
7  27  29  2
7  27  28  1
7  27  27  1
7  27  26  1
7  27  25  2
7  27  19  2
7  27  18  2
7  27  17  1
7  27  16  1
7  27  15  1
7  27  14  1
7  27  13  2
7  27  12  2
7  27  11  1
7  27  10  1
7  27  9  1
7  27  8  0
7  27  7  0
7  27  6  1
7  27  5  1
7  27  4  1
7  26  32  3
7  26  31  3
7  26  30  2
7  26  29  2
7  26  28  1
7  26  27  1
7  26  26  2
7  26  25  2
7  26  24  1
7  26  23  1
7  26  22  1
7  26  19  2
7  26  18  2
7  26  17  0
7  26  16  0
7  26  15  0
7  26  14  0
7  26  13  2
7  26  12  2
7  26  11  2
7  26  10  1
7  26  9  1
7  26  8  1
7  26  7  1
7  26  6  1
7  26  5  1
7  26  4  1
7  25  32  3
7  25  31  3
7  25  30  0
7  25  29  0
7  25  28  0
7  25  27  0
7  25  26  0
7  25  25  0
7  25  24  1
7  25  23  1
7  25  22  1
7  25  21  2
7  25  20  2
7  25  19  1
7  25  18  1
7  25  17  0
7  25  16  0
7  25  15  0
7  25  14  0
7  25  13  0
7  25  12  2
7  25  11  2
7  25  10  2
7  25  9  1
7  25  8  1
7  25  7  1
7  25  6  1
7  25  5  1
7  25  4  1
7  24  32  3
7  24  31  3
7  24  30  0
7  24  29  0
7  24  28  0
7  24  27  0
7  24  26  0
7  24  25  0
7  24  24  0
7  24  23  0
7  24  22  1
7  24  21  2
7  24  20  2
7  24  19  1
7  24  18  1
7  24  17  0
7  24  16  0
7  24  15  0
7  24  14  0
7  24  13  0
7  24  12  0
7  24  11  2
7  24  10  2
7  24  9  1
7  24  8  1
7  24  7  1
7  24  6  1
7  23  32  3
7  23  31  3
7  23  30  0
7  23  29  0
7  23  28  0
7  23  27  1
7  23  26  1
7  23  25  1
7  23  24  1
7  23  23  1
7  23  22  1
7  23  21  2
7  23  20  2
7  23  19  1
7  23  18  1
7  23  17  0
7  23  16  0
7  23  15  0
7  23  14  0
7  23  13  0
7  23  12  0
7  23  11  0
7  23  10  2
7  23  9  2
7  22  32  3
7  22  31  3
7  22  30  0
7  22  29  0
7  22  28  1
7  22  27  1
7  22  26  1
7  22  25  1
7  22  24  2
7  22  23  1
7  22  22  1
7  22  21  2
7  22  20  2
7  22  19  1
7  22  18  1
7  22  17  0
7  22  16  0
7  22  15  0
7  22  14  0
7  22  13  0
7  22  12  0
7  22  11  0
7  22  10  1
7  22  9  1
7  21  32  3
7  21  31  3
7  21  30  3
7  21  29  3
7  21  28  3
7  21  27  2
7  21  26  2
7  21  25  1
7  21  24  2
7  21  23  2
7  21  19  1
7  21  18  1
7  21  17  2
7  21  16  1
7  21  15  1
7  21  14  1
7  21  13  2
7  21  12  2
7  21  11  2
7  21  10  1
7  20  32  3
7  20  31  3
7  20  30  3
7  20  29  3
7  20  28  3
7  20  27  3
7  20  26  2
7  20  25  1
7  20  18  1
7  20  17  1
7  20  16  3
7  20  15  3
7  20  14  3
7  20  13  1
7  20  12  2
7  20  11  2
7  19  33  3
7  19  32  3
7  19  31  3
7  19  30  3
7  19  29  3
7  19  28  3
7  19  27  3
7  18  33  3
7  18  32  3
8  30  9  1
8  30  8  1
8  30  7  1
8  30  6  1
8  30  5  1
8  29  11  1
8  29  10  1
8  29  9  1
8  29  8  1
8  29  7  1
8  29  6  1
8  29  5  1
8  29  4  1
8  28  18  2
8  28  17  1
8  28  16  1
8  28  15  1
8  28  14  2
8  28  13  2
8  28  11  1
8  28  10  1
8  28  9  0
8  28  8  0
8  28  7  0
8  28  6  0
8  28  5  1
8  28  4  1
8  28  3  1
8  27  31  3
8  27  30  2
8  27  29  2
8  27  28  1
8  27  27  1
8  27  26  2
8  27  25  2
8  27  24  1
8  27  23  1
8  27  19  2
8  27  18  2
8  27  17  0
8  27  16  0
8  27  15  0
8  27  14  2
8  27  13  2
8  27  12  2
8  27  11  1
8  27  10  0
8  27  9  0
8  27  8  0
8  27  7  0
8  27  6  0
8  27  5  0
8  27  4  1
8  27  3  1
8  26  32  3
8  26  31  3
8  26  30  3
8  26  29  0
8  26  28  0
8  26  27  0
8  26  26  0
8  26  25  2
8  26  24  1
8  26  23  1
8  26  22  1
8  26  21  2
8  26  20  2
8  26  19  2
8  26  18  0
8  26  17  0
8  26  16  0
8  26  15  0
8  26  14  0
8  26  13  0
8  26  12  2
8  26  11  2
8  26  10  1
8  26  9  0
8  26  8  0
8  26  7  0
8  26  6  0
8  26  5  0
8  26  4  1
8  26  3  1
8  25  33  3
8  25  32  3
8  25  31  0
8  25  30  0
8  25  29  0
8  25  28  0
8  25  27  0
8  25  26  0
8  25  25  0
8  25  24  0
8  25  23  0
8  25  22  2
8  25  21  2
8  25  20  2
8  25  19  1
8  25  18  0
8  25  17  0
8  25  16  0
8  25  15  0
8  25  14  0
8  25  13  0
8  25  12  0
8  25  11  2
8  25  10  1
8  25  9  1
8  25  8  0
8  25  7  0
8  25  6  1
8  25  5  1
8  25  4  1
8  24  33  3
8  24  32  3
8  24  31  0
8  24  30  0
8  24  29  0
8  24  28  0
8  24  27  0
8  24  26  0
8  24  25  0
8  24  24  0
8  24  23  0
8  24  22  0
8  24  21  0
8  24  20  0
8  24  19  0
8  24  18  0
8  24  17  0
8  24  16  0
8  24  15  0
8  24  14  0
8  24  13  0
8  24  12  0
8  24  11  0
8  24  10  2
